zip_code,msa_name,per_low_income,at_risk
94005,"San Francisco-Oakland-Fremont, CA MSA",8.0,False
94010,"San Francisco-Oakland-Fremont, CA MSA",10.6,False
94014,"San Francisco-Oakland-Fremont, CA MSA",12.7,False
94015,"San Francisco-Oakland-Fremont, CA MSA",12.7,False
94019,"San Francisco-Oakland-Fremont, CA MSA",10.0,False
94020,"San Francisco-Oakland-Fremont, CA MSA",4.699999999999999,False
94021,"San Francisco-Oakland-Fremont, CA MSA",18.6,True
94025,"San Francisco-Oakland-Fremont, CA MSA",9.2,False
94027,"San Francisco-Oakland-Fremont, CA MSA",9.9,False
94028,"San Francisco-Oakland-Fremont, CA MSA",7.300000000000001,False
94030,"San Francisco-Oakland-Fremont, CA MSA",12.4,False
94037,"San Francisco-Oakland-Fremont, CA MSA",2.2,False
94038,"San Francisco-Oakland-Fremont, CA MSA",17.200000000000003,True
94044,"San Francisco-Oakland-Fremont, CA MSA",8.399999999999999,False
94060,"San Francisco-Oakland-Fremont, CA MSA",12.100000000000001,False
94061,"San Francisco-Oakland-Fremont, CA MSA",14.3,True
94062,"San Francisco-Oakland-Fremont, CA MSA",9.8,False
94063,"San Francisco-Oakland-Fremont, CA MSA",20.5,True
94065,"San Francisco-Oakland-Fremont, CA MSA",4.4,False
94066,"San Francisco-Oakland-Fremont, CA MSA",11.6,False
94070,"San Francisco-Oakland-Fremont, CA MSA",7.699999999999999,False
94074,"San Francisco-Oakland-Fremont, CA MSA",0.0,False
94080,"San Francisco-Oakland-Fremont, CA MSA",13.3,True
94102,"San Francisco-Oakland-Fremont, CA MSA",53.3,True
94103,"San Francisco-Oakland-Fremont, CA MSA",37.1,True
94104,"San Francisco-Oakland-Fremont, CA MSA",43.4,True
94105,"San Francisco-Oakland-Fremont, CA MSA",7.9,False
94107,"San Francisco-Oakland-Fremont, CA MSA",15.0,True
94108,"San Francisco-Oakland-Fremont, CA MSA",42.7,True
94109,"San Francisco-Oakland-Fremont, CA MSA",26.0,True
94110,"San Francisco-Oakland-Fremont, CA MSA",16.299999999999997,True
94111,"San Francisco-Oakland-Fremont, CA MSA",24.2,True
94112,"San Francisco-Oakland-Fremont, CA MSA",16.700000000000003,True
