zip_code,msa_name,per_college_educated,at_risk
23669,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",65.3,False
23690,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",37.2,True
23691,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.0,True
23692,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",38.1,True
23693,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",39.0,True
23696,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",35.1,True
23701,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",38.0,True
23702,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",31.0,True
23703,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",36.8,True
23704,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",34.7,True
23707,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",39.1,True
23708,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",12.9,True
23839,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",4.3,True
23846,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",100.0,False
23881,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",24.4,True
23883,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",1.4,True
23898,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",34.7,True
23899,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.0,True
27916,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.0,True
27917,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",36.1,True
27923,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",100.0,False
27927,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",30.0,True
27929,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",38.9,True
27939,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",61.5,False
27941,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",51.9,False
27947,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.0,True
27950,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",42.7,False
27958,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",40.2,False
27964,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",100.0,False
27965,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",17.5,True
27966,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",0.0,True
27973,"Virginia Beach-Norfolk-Newport News, VA-NC MSA",22.0,True
56517,"Grand Forks, ND-MN MSA",56.4,False
56523,"Grand Forks, ND-MN MSA",44.7,True
56535,"Grand Forks, ND-MN MSA",30.6,True
56540,"Grand Forks, ND-MN MSA",35.4,True
56542,"Grand Forks, ND-MN MSA",50.8,False
56556,"Grand Forks, ND-MN MSA",31.3,True
56568,"Grand Forks, ND-MN MSA",58.3,False
56592,"Grand Forks, ND-MN MSA",28.6,True
56646,"Grand Forks, ND-MN MSA",0.0,True
56651,"Grand Forks, ND-MN MSA",5.6,True
56684,"Grand Forks, ND-MN MSA",29.6,True
56716,"Grand Forks, ND-MN MSA",62.6,False
56721,"Grand Forks, ND-MN MSA",43.5,True
56722,"Grand Forks, ND-MN MSA",26.3,True
56723,"Grand Forks, ND-MN MSA",50.0,False
56736,"Grand Forks, ND-MN MSA",56.0,False
58201,"Grand Forks, ND-MN MSA",55.4,False
58202,"Grand Forks, ND-MN MSA",77.9,False
58203,"Grand Forks, ND-MN MSA",67.0,False
58204,"Grand Forks, ND-MN MSA",49.3,False
58205,"Grand Forks, ND-MN MSA",22.1,True
58214,"Grand Forks, ND-MN MSA",60.0,False
58228,"Grand Forks, ND-MN MSA",82.8,False
58235,"Grand Forks, ND-MN MSA",60.0,False
58251,"Grand Forks, ND-MN MSA",36.7,True
58256,"Grand Forks, ND-MN MSA",52.2,False
58258,"Grand Forks, ND-MN MSA",0.0,True
58267,"Grand Forks, ND-MN MSA",27.9,True
58275,"Grand Forks, ND-MN MSA",30.0,True
58278,"Grand Forks, ND-MN MSA",46.1,False
64831,"Fayetteville-Springdale-Rogers, AR-MO MSA",36.5,False
64843,"Fayetteville-Springdale-Rogers, AR-MO MSA",23.0,True
64847,"Fayetteville-Springdale-Rogers, AR-MO MSA",13.6,True
64854,"Fayetteville-Springdale-Rogers, AR-MO MSA",48.6,False
64856,"Fayetteville-Springdale-Rogers, AR-MO MSA",10.5,True
64861,"Fayetteville-Springdale-Rogers, AR-MO MSA",17.5,True
64863,"Fayetteville-Springdale-Rogers, AR-MO MSA",2.5,True
65730,"Fayetteville-Springdale-Rogers, AR-MO MSA",63.9,False
72701,"Fayetteville-Springdale-Rogers, AR-MO MSA",66.4,False
72703,"Fayetteville-Springdale-Rogers, AR-MO MSA",54.2,False
72704,"Fayetteville-Springdale-Rogers, AR-MO MSA",52.7,False
72712,"Fayetteville-Springdale-Rogers, AR-MO MSA",39.0,False
72714,"Fayetteville-Springdale-Rogers, AR-MO MSA",45.0,False
72715,"Fayetteville-Springdale-Rogers, AR-MO MSA",20.3,True
72717,"Fayetteville-Springdale-Rogers, AR-MO MSA",10.1,True
72718,"Fayetteville-Springdale-Rogers, AR-MO MSA",20.0,True
72719,"Fayetteville-Springdale-Rogers, AR-MO MSA",27.3,False
72722,"Fayetteville-Springdale-Rogers, AR-MO MSA",25.8,True
72727,"Fayetteville-Springdale-Rogers, AR-MO MSA",17.9,True
72730,"Fayetteville-Springdale-Rogers, AR-MO MSA",22.4,True
72732,"Fayetteville-Springdale-Rogers, AR-MO MSA",25.0,True
