zip_code,msa_name,income,gentrified
62207,"St. Louis, MO-IL MSA",29184.0,True
62208,"St. Louis, MO-IL MSA",78423.0,False
62215,"St. Louis, MO-IL MSA",115776.0,True
62216,"St. Louis, MO-IL MSA",110938.0,True
62218,"St. Louis, MO-IL MSA",93636.0,False
62219,"St. Louis, MO-IL MSA",63846.0,False
62220,"St. Louis, MO-IL MSA",65261.0,False
62221,"St. Louis, MO-IL MSA",78619.0,False
62223,"St. Louis, MO-IL MSA",69620.0,False
62225,"St. Louis, MO-IL MSA",91988.0,True
62226,"St. Louis, MO-IL MSA",66018.0,False
62230,"St. Louis, MO-IL MSA",81824.0,False
62231,"St. Louis, MO-IL MSA",80660.0,True
62232,"St. Louis, MO-IL MSA",64268.0,True
62234,"St. Louis, MO-IL MSA",66437.0,False
62236,"St. Louis, MO-IL MSA",112070.0,True
62239,"St. Louis, MO-IL MSA",57793.0,False
62240,"St. Louis, MO-IL MSA",70298.0,True
62243,"St. Louis, MO-IL MSA",93328.0,False
62244,"St. Louis, MO-IL MSA",115183.0,True
62245,"St. Louis, MO-IL MSA",89375.0,True
62246,"St. Louis, MO-IL MSA",61740.0,False
62248,"St. Louis, MO-IL MSA",80260.0,True
62249,"St. Louis, MO-IL MSA",88986.0,False
62250,"St. Louis, MO-IL MSA",70292.0,False
62253,"St. Louis, MO-IL MSA",50000.0,True
62254,"St. Louis, MO-IL MSA",89500.0,True
62255,"St. Louis, MO-IL MSA",78250.0,True
62256,"St. Louis, MO-IL MSA",87500.0,True
62257,"St. Louis, MO-IL MSA",66848.0,False
62258,"St. Louis, MO-IL MSA",90417.0,False
62260,"St. Louis, MO-IL MSA",93929.0,False
62262,"St. Louis, MO-IL MSA",58722.0,True
62264,"St. Louis, MO-IL MSA",61174.0,False
62265,"St. Louis, MO-IL MSA",88097.0,False
62269,"St. Louis, MO-IL MSA",100167.0,False
62273,"St. Louis, MO-IL MSA",47986.0,True
62275,"St. Louis, MO-IL MSA",89375.0,True
62279,"St. Louis, MO-IL MSA",245179.0,True
62281,"St. Louis, MO-IL MSA",122679.0,True
62282,"St. Louis, MO-IL MSA",113167.0,True
62284,"St. Louis, MO-IL MSA",50208.0,False
62285,"St. Louis, MO-IL MSA",118413.0,True
62289,"St. Louis, MO-IL MSA",48472.0,False
62293,"St. Louis, MO-IL MSA",90059.0,False
62294,"St. Louis, MO-IL MSA",108418.0,True
62295,"St. Louis, MO-IL MSA",76563.0,False
62298,"St. Louis, MO-IL MSA",94073.0,False
62626,"St. Louis, MO-IL MSA",64440.0,False
62630,"St. Louis, MO-IL MSA",82292.0,True
62640,"St. Louis, MO-IL MSA",64438.0,False
62649,"St. Louis, MO-IL MSA",58173.0,False
62667,"St. Louis, MO-IL MSA",62232.0,True
62672,"St. Louis, MO-IL MSA",46563.0,False
62674,"St. Louis, MO-IL MSA",54196.0,False
62685,"St. Louis, MO-IL MSA",63750.0,False
62690,"St. Louis, MO-IL MSA",82644.0,True
63005,"St. Louis, MO-IL MSA",202232.0,False
63010,"St. Louis, MO-IL MSA",76839.0,False
63011,"St. Louis, MO-IL MSA",121941.0,True
63012,"St. Louis, MO-IL MSA",99860.0,False
63013,"St. Louis, MO-IL MSA",105526.0,True
63014,"St. Louis, MO-IL MSA",64327.0,False
63015,"St. Louis, MO-IL MSA",73807.0,False
63016,"St. Louis, MO-IL MSA",79444.0,False
63017,"St. Louis, MO-IL MSA",128750.0,False
63019,"St. Louis, MO-IL MSA",64700.0,False
63020,"St. Louis, MO-IL MSA",65908.0,False
63021,"St. Louis, MO-IL MSA",113822.0,True
63023,"St. Louis, MO-IL MSA",73988.0,True
63025,"St. Louis, MO-IL MSA",134266.0,True
63026,"St. Louis, MO-IL MSA",96145.0,False
63028,"St. Louis, MO-IL MSA",76468.0,False
63030,"St. Louis, MO-IL MSA",58917.0,False
63031,"St. Louis, MO-IL MSA",71783.0,False
63033,"St. Louis, MO-IL MSA",63979.0,False
63034,"St. Louis, MO-IL MSA",110491.0,True
63037,"St. Louis, MO-IL MSA",59184.0,False
63038,"St. Louis, MO-IL MSA",187906.0,True
63039,"St. Louis, MO-IL MSA",71094.0,False
63040,"St. Louis, MO-IL MSA",130139.0,False
63041,"St. Louis, MO-IL MSA",69545.0,False
63042,"St. Louis, MO-IL MSA",49384.0,False
63043,"St. Louis, MO-IL MSA",91050.0,True
63044,"St. Louis, MO-IL MSA",76094.0,True
63048,"St. Louis, MO-IL MSA",89611.0,True
63049,"St. Louis, MO-IL MSA",90234.0,True
63050,"St. Louis, MO-IL MSA",79462.0,False
63051,"St. Louis, MO-IL MSA",71513.0,False
63052,"St. Louis, MO-IL MSA",95891.0,True
63053,"St. Louis, MO-IL MSA",68750.0,False
63055,"St. Louis, MO-IL MSA",76359.0,False
63056,"St. Louis, MO-IL MSA",74194.0,True
63060,"St. Louis, MO-IL MSA",53586.0,False
63061,"St. Louis, MO-IL MSA",94167.0,True
63068,"St. Louis, MO-IL MSA",81750.0,False
